protein,freq,study,study_type
TP53,9,stad_uhongkong,stomach
DNAH7,7,stad_uhongkong,stomach
ARID1A,6,stad_uhongkong,stomach
CSMD3,6,stad_uhongkong,stomach
LRP1B,6,stad_uhongkong,stomach
SLCO6A1,6,stad_uhongkong,stomach
PTEN,6,stad_uhongkong,stomach
PCDH15,5,stad_uhongkong,stomach
COPB2,4,stad_uhongkong,stomach
ACVR2A,4,stad_uhongkong,stomach
TTK,4,stad_uhongkong,stomach
USH2A,4,stad_uhongkong,stomach
DNAH3,4,stad_uhongkong,stomach
FMN2,4,stad_uhongkong,stomach
EIF3A,4,stad_uhongkong,stomach
USP34,4,stad_uhongkong,stomach
SPTA1,4,stad_uhongkong,stomach
HERC2,4,stad_uhongkong,stomach
LMAN1,4,stad_uhongkong,stomach
HMCN1,4,stad_uhongkong,stomach
TIAM1,4,stad_uhongkong,stomach
PAPPA,4,stad_uhongkong,stomach
RPL22,3,stad_uhongkong,stomach
CCPG1,3,stad_uhongkong,stomach
LRRK2,3,stad_uhongkong,stomach
ZFP57,3,stad_uhongkong,stomach
LGR4,3,stad_uhongkong,stomach
DYSF,3,stad_uhongkong,stomach
TTC3,3,stad_uhongkong,stomach
FSCB,3,stad_uhongkong,stomach
ABCA7,3,stad_uhongkong,stomach
ABCA8,3,stad_uhongkong,stomach
RYR1,3,stad_uhongkong,stomach
SYCP2,3,stad_uhongkong,stomach
KIDINS220,3,stad_uhongkong,stomach
SLC44A5,3,stad_uhongkong,stomach
PIK3CA,3,stad_uhongkong,stomach
SUN2,3,stad_uhongkong,stomach
KAT8,3,stad_uhongkong,stomach
HFM1,3,stad_uhongkong,stomach
TDRD6,3,stad_uhongkong,stomach
FLG,3,stad_uhongkong,stomach
FLNB,3,stad_uhongkong,stomach
COL6A3,3,stad_uhongkong,stomach
ERICH3,3,stad_uhongkong,stomach
CCDC73,3,stad_uhongkong,stomach
ABCB5,3,stad_uhongkong,stomach
APC,3,stad_uhongkong,stomach
ARFGEF1,3,stad_uhongkong,stomach
APOB,3,stad_uhongkong,stomach
PREPL,3,stad_uhongkong,stomach
KIF20B,3,stad_uhongkong,stomach
NLRP6,3,stad_uhongkong,stomach
RNF123,3,stad_uhongkong,stomach
STAU2,3,stad_uhongkong,stomach
MTR,3,stad_uhongkong,stomach
UBE3C,3,stad_uhongkong,stomach
CFAP61,3,stad_uhongkong,stomach
RAPGEF2,3,stad_uhongkong,stomach
SEMA3E,3,stad_uhongkong,stomach
TRPM6,3,stad_uhongkong,stomach
CYLC1,3,stad_uhongkong,stomach
BDP1,3,stad_uhongkong,stomach
KANSL1L,3,stad_uhongkong,stomach
DHX36,3,stad_uhongkong,stomach
RELN,3,stad_uhongkong,stomach
DMXL1,3,stad_uhongkong,stomach
ITPR2,3,stad_uhongkong,stomach
STAB1,3,stad_uhongkong,stomach
ITPR3,3,stad_uhongkong,stomach
ZIK1,3,stad_uhongkong,stomach
BRCA2,3,stad_uhongkong,stomach
SACS,3,stad_uhongkong,stomach
SYNJ2,3,stad_uhongkong,stomach
KCNH2,3,stad_uhongkong,stomach
NCAPD2,3,stad_uhongkong,stomach
C9ORF84,3,stad_uhongkong,stomach
ADAMTS18,3,stad_uhongkong,stomach
TAF2,3,stad_uhongkong,stomach
DMD,3,stad_uhongkong,stomach
MOCOS,3,stad_uhongkong,stomach
FAT4,3,stad_uhongkong,stomach
MCHR1,3,stad_uhongkong,stomach
ARID4A,3,stad_uhongkong,stomach
SYNE1,3,stad_uhongkong,stomach
FNBP4,3,stad_uhongkong,stomach
LAMA2,3,stad_uhongkong,stomach
SPAG9,3,stad_uhongkong,stomach
SLC39A10,3,stad_uhongkong,stomach
ATP8B2,3,stad_uhongkong,stomach
MASTL,3,stad_uhongkong,stomach
LRP2,3,stad_uhongkong,stomach
BCAM,3,stad_uhongkong,stomach
EPHB4,2,stad_uhongkong,stomach
TPP2,2,stad_uhongkong,stomach
ADAMTS19,2,stad_uhongkong,stomach
TPTE,2,stad_uhongkong,stomach
DLG5,2,stad_uhongkong,stomach
ERBB2,2,stad_uhongkong,stomach
ERBB3,2,stad_uhongkong,stomach
ERBB4,2,stad_uhongkong,stomach
METTL3,2,stad_uhongkong,stomach
ABCA3,2,stad_uhongkong,stomach
ATP8B4,2,stad_uhongkong,stomach
EYA4,2,stad_uhongkong,stomach
ERCC3,2,stad_uhongkong,stomach
WDR64,2,stad_uhongkong,stomach
LZTR1,2,stad_uhongkong,stomach
HIVEP1,2,stad_uhongkong,stomach
C11ORF70,2,stad_uhongkong,stomach
CTTNBP2,2,stad_uhongkong,stomach
ERCC6,2,stad_uhongkong,stomach
TMEM60,2,stad_uhongkong,stomach
KLHDC2,2,stad_uhongkong,stomach
MAP2,2,stad_uhongkong,stomach
MARK1,2,stad_uhongkong,stomach
TRPC4,2,stad_uhongkong,stomach
CFTR,2,stad_uhongkong,stomach
TRPS1,2,stad_uhongkong,stomach
FKBP9,2,stad_uhongkong,stomach
KLF3,2,stad_uhongkong,stomach
MCM7,2,stad_uhongkong,stomach
CHD1,2,stad_uhongkong,stomach
OR2J2,2,stad_uhongkong,stomach
CHD3,2,stad_uhongkong,stomach
KLHL41,2,stad_uhongkong,stomach
CCDC178,2,stad_uhongkong,stomach
ATP8B1,2,stad_uhongkong,stomach
COL22A1,2,stad_uhongkong,stomach
TECRL,2,stad_uhongkong,stomach
OR14C36,2,stad_uhongkong,stomach
ACVR2B,2,stad_uhongkong,stomach
PFKP,2,stad_uhongkong,stomach
CHKA,2,stad_uhongkong,stomach
KCNB2,2,stad_uhongkong,stomach
MDM2,2,stad_uhongkong,stomach
TRIP12,2,stad_uhongkong,stomach
CHRM2,2,stad_uhongkong,stomach
FAM13B,2,stad_uhongkong,stomach
CHRM3,2,stad_uhongkong,stomach
ABCA9,2,stad_uhongkong,stomach
HNRNPC,2,stad_uhongkong,stomach
ADCY6,2,stad_uhongkong,stomach
ADCY7,2,stad_uhongkong,stomach
TULP1,2,stad_uhongkong,stomach
RSRC1,2,stad_uhongkong,stomach
CHRNG,2,stad_uhongkong,stomach
ABCB1,2,stad_uhongkong,stomach
MEOX2,2,stad_uhongkong,stomach
ARHGAP22,2,stad_uhongkong,stomach
FANCG,2,stad_uhongkong,stomach
ZDHHC15,2,stad_uhongkong,stomach
FASN,2,stad_uhongkong,stomach
ARID1B,2,stad_uhongkong,stomach
NOD1,2,stad_uhongkong,stomach
SEMA6D,2,stad_uhongkong,stomach
FKTN,2,stad_uhongkong,stomach
LRFN5,2,stad_uhongkong,stomach
ZNF644,2,stad_uhongkong,stomach
PGAM4,2,stad_uhongkong,stomach
NPAP1,2,stad_uhongkong,stomach
MKI67,2,stad_uhongkong,stomach
TJP2,2,stad_uhongkong,stomach
PLCL1,2,stad_uhongkong,stomach
C1QTNF6,2,stad_uhongkong,stomach
TP53RK,2,stad_uhongkong,stomach
POLN,2,stad_uhongkong,stomach
DNAJB5,2,stad_uhongkong,stomach
ARHGAP20,2,stad_uhongkong,stomach
PLK1,2,stad_uhongkong,stomach
CCDC191,2,stad_uhongkong,stomach
GPAT2,2,stad_uhongkong,stomach
PUS7,2,stad_uhongkong,stomach
SDHA,2,stad_uhongkong,stomach
CNTN1,2,stad_uhongkong,stomach
AKAP7,2,stad_uhongkong,stomach
MAP3K19,2,stad_uhongkong,stomach
CCDC33,2,stad_uhongkong,stomach
WDR48,2,stad_uhongkong,stomach
UNC13B,2,stad_uhongkong,stomach
RNF32,2,stad_uhongkong,stomach
ROCK2,2,stad_uhongkong,stomach
NAPSA,2,stad_uhongkong,stomach
MRE11A,2,stad_uhongkong,stomach
ABCC1,2,stad_uhongkong,stomach
AMPD1,2,stad_uhongkong,stomach
COL7A1,2,stad_uhongkong,stomach
FLNC,2,stad_uhongkong,stomach
CLCA4,2,stad_uhongkong,stomach
COL11A1,2,stad_uhongkong,stomach
DCAF13,2,stad_uhongkong,stomach
COL12A1,2,stad_uhongkong,stomach
UBQLN2,2,stad_uhongkong,stomach
KAT5,2,stad_uhongkong,stomach
LRRN1,2,stad_uhongkong,stomach
SEMA7A,2,stad_uhongkong,stomach
CCDC146,2,stad_uhongkong,stomach
OTUD6A,2,stad_uhongkong,stomach
FOLH1,2,stad_uhongkong,stomach
OR5D18,2,stad_uhongkong,stomach
OR5D14,2,stad_uhongkong,stomach
ICA1,2,stad_uhongkong,stomach
LZTFL1,2,stad_uhongkong,stomach
EQTN,2,stad_uhongkong,stomach
BAG4,2,stad_uhongkong,stomach
BAG3,2,stad_uhongkong,stomach
NDST2,2,stad_uhongkong,stomach
ASTE1,2,stad_uhongkong,stomach
ASAP3,2,stad_uhongkong,stomach
HKDC1,2,stad_uhongkong,stomach
